"","RPCS","TATP","Petitj3D","grav","ASPAN","PMI1","GETAWAY14","GETAWAY172","MORSE193","AUTOCORR3D33","PNSA1","PNSA2","W3DH","PMI2","GETAWAY60","GETAWAY119","AUTOCORR3D1","AUTOCORR3D2","ASA","PPSA1"
"PNSA1",-0.0689338236413974,0.0166445475241944,-0.570668991894133,0.0638961299605386,-0.0857584449446529,0.0344557172625988,0.00464700305998502,0.22445976567485,0.14494625136566,-0.0464514099323614,0.00429722843689707,-0.0966427341079371,0.0320316426065218,0.00253344801524223,-0.0248055461797636,-0.40855823806883,-0.635232069367704,0.0279496722580214,0.0259732720092728,-0.0145320643959984
"PNSA2",0.0647032309039925,-0.0152744649907527,0.536267889234233,-0.081229474822353,0.110326314557501,-0.0431381251704549,-0.00629262523284627,-0.28121464932981,-0.182884590806621,0.0751644094127661,-0.0113473179379481,0.355187443923062,-0.260738087651304,-0.00159973860158606,-0.0270369333121713,-0.353127721540818,-0.49900403416573,0.011425204480094,0.0162735113928322,-0.00661897604782067
"W3DH",-0.29971477444683,0.274366461077763,0.0597489487695684,0.141915428156862,-0.00367599241684173,-0.0409351934898035,0.0164393597469112,-0.15757925430448,0.171665455147928,-0.00535893810925869,-0.162373034609164,0.239836625594674,0.420457526620252,-0.392464998222456,0.0283953704878515,0.311946642207945,-0.251355795785772,-0.414265817533538,0.0786327620856319,-0.0331634484574665
"PMI2",-0.361446508138379,-0.0491006028396086,0.04971558975783,0.0589857205597009,-0.0213318211195202,-0.0327432358942254,0.00441423357703081,-0.16932221530896,0.281669734685263,-0.0944483550698444,-0.295419239685692,0.0722695769813275,0.0357150735954604,0.230528320175075,-0.396210751450053,0.174147680199583,-0.0906323712742371,0.497932011158824,-0.381976559451785,0.0789830980100849
"GETAWAY60",0.00447420728098658,-0.0089985271953986,0.000867359632282081,-0.0429751174186589,-0.124708049516708,-0.390381855415362,0.909184541285545,0.0315186767353193,-0.0329861871766702,-0.00509720329833134,0.00443901372651578,0.00451031418769739,-0.000115189275119222,0.0298045586459987,0.0208589703546822,-0.00104176856454653,-0.000401718955187878,-0.000891736838925128,-0.00341451918799046,0.000327066628131912
"GETAWAY119",0.00599644912362332,-0.0108980590177088,0.00153566645976401,0.0503152250899122,-0.123024998636181,-0.894329629466072,-0.40432991322886,0.114508145365731,-0.0195859075758909,0.0630053207327641,0.0166125837471489,0.00050484007028068,0.00363764919951188,0.0311216990597749,0.0109321668215938,0.00275572052172397,-0.00276968243860392,-0.00125773390134472,-0.00276638100695865,0.000740550019494676
"AUTOCORR3D1",-0.322244801316643,-0.314534177398209,0.0132542123200992,-0.0541809549351529,0.0121528540275415,0.00921407252905901,-0.00796613657197522,0.0131507918294939,-0.0381853770047856,0.0596262604531131,-0.166787930108833,0.174247149958885,0.261773872800202,0.0629013224479561,0.368910914957598,-0.0799967200739857,0.0644446341837754,0.396681545830256,0.594944610653347,-0.00269705052092822
"AUTOCORR3D2",-0.0259180495393989,-0.556420868455044,-0.0259739439075643,-0.128287352500464,0.00658306835017321,0.0293957489907582,-0.0165700400402568,0.0748442741698949,-0.0821305396150223,0.0288894038178399,-0.069967281849243,0.00529857957686243,-0.0265359617089186,0.0882081762181341,0.399923506410373,0.308978260283008,-0.245697731307444,-0.234720276576336,-0.370405999823608,0.369799648637705
"ASA",-0.373206787165612,0.178825672126503,0.0148177940407354,-0.0698177666185644,0.00643331740080127,-0.00227034032715775,-0.00874936766856406,0.0109809480532753,-0.0417833055488834,0.0180023442812189,-0.0518394579479802,0.0843693498255451,0.147918696253251,-0.0724698869751901,0.305858540038385,-0.583379757872161,0.349089467394886,-0.0921574592680178,-0.459940810646841,0.0927881926153017
"PPSA1",-0.00223124028556179,-0.00591540473925527,-0.301543784272843,-0.00542996831613193,0.0816448610347627,-0.0872728892493785,-0.0141076653525982,-0.764474293058315,-0.384830586027665,0.0725694860157746,-0.0244074991736375,-0.351144033157338,0.160724669323445,0.0716222350440211,0.0110017961444018,-0.0201791448499753,-0.0348435205698629,-0.00258670415855157,3.29385789764044e-05,0.011381873613564
